id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1068507,Beautiful Central Austin Home,2690825,Maytal,,78756,30.311308629609012,-97.74018125818279,Entire home/apt,130,5,3,2016-05-13,0.07,1,275
593102,Rosedale's Casa Blanca: ACL/Form 1 ,2852664,Lori,,78756,30.31543553669823,-97.74510780415294,Entire home/apt,500,2,2,2013-03-12,0.04,1,357
5992071,Central Austin Craftsman Sleeps 4,11709743,Dustin,,78756,30.310824416902925,-97.74798559987052,Entire home/apt,195,2,7,2016-12-20,0.56,1,341
10069609,Charming Rosedale Home Sleeps 12!,50695244,John,,78756,30.310760851207164,-97.74734231511205,Entire home/apt,300,1,3,2016-06-12,0.25,3,353
3689085,Welcome - TajMaSmall Guest Suite,18775364,Just,,78756,30.332273394747258,-97.73670455000206,Entire home/apt,105,1,122,2017-02-20,4.24,1,331
17239710,Shoal Creek Tiny House Sanctuary,79832997,Joel,,78756,30.33438203283514,-97.74831971474137,Shared room,150,3,0,,,1,25
17418916,The Parlor On Lamar,72682985,J,,78756,30.320134881966023,-97.73093795326582,Entire home/apt,80,1,0,,,5,350
4235416,Cool studio in groovy central Austin,4779911,Jeanne Claire,,78756,30.326608803911693,-97.73167385493731,Entire home/apt,85,1,62,2017-03-06,2.12,1,151
17555397,SXSW Studio,72682985,J,,78756,30.319082378072476,-97.73084609276748,Entire home/apt,90,1,0,,,5,20
5457288,The Skylight Modern,28304366,Annemarie,,78756,30.33333282663358,-97.7367752108877,Entire home/apt,115,1,77,2017-03-03,3.18,1,357
1535250,Cute apartment in central Austin!!,8187341,Natalya,,78756,30.327249925052055,-97.73823633789547,Entire home/apt,85,2,68,2017-01-04,1.60,2,340
12159104,1 bed room apartment for 2 weeks,65302307,Hamed,,78756,30.321687026040767,-97.7322994592746,Entire home/apt,85,3,0,,,1,0
5660770,Sunny Brentwood Home,16750616,Rosalind,,78756,30.32451220751739,-97.73311655516514,Entire home/apt,370,2,0,,,1,0
2077867,Cabin in the City,56895,Daniel,,78756,30.32888034337084,-97.73635298511319,Entire home/apt,125,3,62,2017-03-05,1.60,1,65
17557452,SXSW Apartment Suite,72682985,J,,78756,30.318945555010092,-97.73227065139501,Entire home/apt,90,1,0,,,5,23
17133649,Brentwood Mod Tiny House,3074775,Montana,,78756,30.330776325595053,-97.73247220935849,Entire home/apt,225,2,0,,,1,14
13828639,"Contemporary, Clean, Convenient",11135395,Vivien,,78756,30.315509462875777,-97.73572935943977,Entire home/apt,130,2,10,2016-10-21,1.24,1,0
2041310,Capitol Court Midtown Lodge,475506,Dan,,78756,30.31851991919617,-97.73229353412155,Entire home/apt,129,2,86,2017-01-24,2.33,2,324
11759391,COZY Austin Studio,25203697,Travis,,78756,30.327697971396525,-97.73281421917187,Entire home/apt,74,1,1,2016-04-10,0.09,1,0
8993912,Great Studio in Central Austin!,45763950,Derek,,78756,30.318778420180685,-97.73136526131321,Entire home/apt,110,1,3,2016-03-20,0.18,1,0
11519361,"Central location, great food in the",34442751,Alice,,78756,30.324796343055898,-97.72913498538236,Entire home/apt,77,1,4,2016-04-18,0.34,1,0
8690879,Artsy Apartment in Hyde Park Austin,44519711,Jon,,78756,30.320254097950443,-97.73057907101399,Entire home/apt,109,1,94,2017-02-26,5.49,1,338
11547178,2BR Condo w/ Metrobus to Downtown. SXSW available!,31148752,Bob,,78756,30.320849827254662,-97.7373380618264,Entire home/apt,219,2,2,2017-01-31,0.18,45,8
2036294,Updated Mid-Century Home 2Bd-1.5Ba,10381875,Patricia,,78756,30.322891820148328,-97.73069591826594,Entire home/apt,185,3,5,2016-05-02,0.13,1,154
4404358,Cozy centrally located couch,22863088,Natasha,,78756,30.325448707206437,-97.73716664221932,Shared room,75,1,2,2015-03-19,0.07,1,88
17340013,SXSW Music Experience,337459,Earphoria,,78756,30.325449433470446,-97.73721413201739,Shared room,25,1,0,,,4,363
767425,3BR Stylish New Austin Modern,1660838,Tatiana,,78756,30.329326599232367,-97.733084309278,Entire home/apt,114,3,25,2017-02-02,0.51,1,349
17381892,The Lodge on Lamar,72682985,J,,78756,30.320393559144208,-97.73135140075085,Entire home/apt,89,1,1,2017-02-25,1,5,364
12171920,Convenient and cozy garage apt,65389398,Julie,,78756,30.32873481692807,-97.74074800453354,Entire home/apt,115,2,21,2017-02-25,2.03,1,162
16916272,Central Austin beautiful home sleeps 6+,1831800,Nick,,78756,30.31236741835429,-97.74387377843797,Entire home/apt,445,4,0,,,1,51
17367460,Private Room close to multiple bus lines,65147772,Bree,,78756,30.323797625734613,-97.73738381968504,Private room,100,2,0,,,1,343
867806,Beautiful Allandale Flat,245617,Peter,,78756,30.331932580757915,-97.74268622038312,Entire home/apt,80,30,3,2016-03-19,0.15,1,324
17531243,Rosedale Apartment,118895249,Tj,,78756,30.311317078719355,-97.74515460429625,Entire home/apt,95,1,0,,,1,347
8301191,spacious two story townhome,43768510,Dorothy,,78756,30.326085115745368,-97.73239708760269,Entire home/apt,85,1,0,,,1,0
16815832,"Mid-century duplex, overlooking shoal creek, UT",96865071,Katherine,,78756,30.31284099731793,-97.74754097621869,Entire home/apt,128,2,1,2017-02-20,1,1,106
10764527,Modern Farmhouse,9013446,Cindy,,78756,30.322993600483475,-97.73564464208118,Entire home/apt,1700,2,0,,,2,0
461404,Cute & Cozy Central Austin House   ,1021729,Nita,,78756,30.322250323524894,-97.72960014777382,Entire home/apt,102,2,31,2017-01-02,0.60,1,347
11775230,Great yard–Bright rooms–Near it all,5040744,Manuel & David,,78756,30.325485902272767,-97.73286211137989,Entire home/apt,249,2,1,2016-05-30,0.11,2,1
16616633,Resort Style 2 Bedroom in North/Central Austin,109688686,Madalyn,,78756,30.31857339062865,-97.73175003279391,Entire home/apt,70,2,3,2017-01-22,1.41,1,6
10096170,"Comfortable Bed #1, Free Wifi",51809476,Dao,,78756,30.321116246448252,-97.73166999588534,Shared room,25,7,16,2016-04-29,1.18,2,0
5459498,Two Bed One Bath Central Austin,28319094,Jessica,,78756,30.325209166895032,-97.73860364270332,Entire home/apt,250,1,0,,,1,0
5565604,3 BR Rosedale Home @ Central Austin,22299444,Adam,,78756,30.310577554200687,-97.74445974452334,Entire home/apt,250,30,10,2016-09-30,0.42,7,345
3798024,Lovely Garage Apt in Central Austin,2194671,Louie,,78756,30.31504002313443,-97.7448839934265,Entire home/apt,120,30,3,2015-09-01,0.12,2,364
