listing_id,date
528338,2014-03-03
1755803,2014-04-07
5340114,2016-03-22
1327668,2014-06-21
945496,2015-02-21
5791933,2015-08-07
342039,2016-05-29
4678565,2016-05-30
14138243,2016-08-28
3424259,2016-10-30
522136,2016-10-03
2266768,2014-02-19
9562804,2016-09-26
3549253,2016-07-30
1875121,2014-03-23
705858,2014-09-22
943528,2015-06-05
5775285,2015-05-24
1063725,2014-11-19
2254712,2014-09-28
10175507,2016-03-29
1822588,2016-04-18
508203,2014-06-09
12905622,2016-05-30
1401705,2014-10-27
2528473,2015-07-22
3689085,2015-10-30
675759,2015-02-15
12988990,2016-11-15
1880094,2015-07-10
2451651,2015-03-18
4164781,2016-10-12
4279079,2017-02-23
5475507,2016-01-15
5103926,2016-11-06
1080704,2016-12-05
8569443,2016-04-06
2502923,2015-05-08
15604021,2017-02-27
244785,2012-04-24
8402953,2016-10-11
10355625,2017-01-02
1755803,2017-02-07
367445,2015-05-24
7698286,2015-10-26
13117051,2016-09-05
12007706,2016-11-26
2722532,2015-05-24
5526127,2015-04-07
8054795,2015-09-24
8588504,2016-11-08
1233103,2015-03-30
8880973,2016-06-11
1716464,2016-09-06
4197763,2015-02-15
78831,2014-07-15
690984,2013-09-28
3163510,2016-06-12
222986,2012-12-11
948038,2017-02-10
16064247,2016-12-10
14769253,2017-03-02
5259718,2016-04-24
5695891,2016-06-27
1906190,2014-07-09
5769,2010-10-12
11361466,2016-09-10
15095434,2017-01-24
1511053,2015-06-30
5173181,2016-03-20
13451957,2016-10-27
3116223,2015-06-29
1024819,2016-02-16
4402297,2015-03-20
4301872,2017-02-04
6704541,2016-11-16
14277140,2016-09-07
11340543,2016-05-23
1741604,2015-08-05
973313,2016-10-26
2021663,2014-01-02
951272,2016-10-12
13613190,2016-09-05
1743317,2013-12-07
8226080,2015-09-21
5268621,2015-11-08
5510293,2016-07-04
8308227,2015-09-15
2418647,2015-10-19
358164,2015-10-20
7351170,2015-11-20
11442375,2016-10-03
1622688,2016-04-02
2084090,2016-02-15
14745824,2017-02-26
1511053,2014-09-28
7435259,2016-08-17
1741604,2016-01-10
1109489,2016-03-15
5060912,2015-11-08
4217071,2016-09-09
1107522,2016-05-04
1124510,2016-07-21
7726673,2017-02-18
6713635,2015-11-23
4145599,2016-03-11
2539594,2016-04-11
2855712,2015-04-27
945803,2015-03-17
1717810,2014-03-11
14398333,2016-11-13
11207461,2016-03-12
11937703,2016-10-10
955612,2015-10-13
15207393,2016-10-09
742593,2015-09-22
1462557,2015-01-26
2138690,2016-01-24
6421267,2016-01-02
15409833,2016-10-23
3946696,2014-11-03
2867059,2016-08-15
11757979,2016-03-25
864954,2015-05-08
1462557,2014-08-04
4974255,2016-11-17
659787,2016-11-01
8917149,2016-01-27
4463932,2015-08-03
16810650,2017-02-25
349447,2014-12-20
367356,2016-10-14
11160635,2016-10-24
3425069,2017-01-10
5510293,2016-07-18
12723327,2016-06-13
9063597,2016-03-02
2722532,2016-09-27
367445,2012-10-29
1426936,2013-10-28
140474,2015-03-07
3129540,2014-09-05
2524955,2016-07-18
4849820,2017-03-01
5456,2009-12-13
13282714,2016-09-20
4931574,2016-08-05
2349236,2015-08-23
5526127,2016-03-02
4612143,2017-02-23
7633876,2015-08-31
1255816,2015-04-14
7264070,2016-09-06
202187,2015-09-01
4438044,2016-07-16
5532511,2016-03-11
5480629,2016-01-23
4892181,2016-03-19
9868816,2016-05-30
13188368,2016-09-03
276522,2012-09-18
4786928,2015-03-19
5104248,2015-12-30
15617030,2017-01-10
11220779,2016-03-04
1107522,2015-08-13
5307653,2015-05-19
3742347,2016-07-26
958452,2016-01-03
5288423,2016-02-22
8390607,2016-04-24
2266768,2015-11-22
1255816,2014-03-13
13298454,2016-10-20
690984,2014-02-24
4184049,2016-09-05
949922,2017-01-19
917932,2015-11-25
12829465,2016-06-19
347802,2014-10-13
937157,2013-03-14
16932858,2017-02-19
942333,2013-03-09
202187,2015-04-02
14834728,2016-11-29
668873,2016-10-03
669923,2013-02-26
4198303,2015-08-31
2266768,2014-08-11
1588655,2015-12-07
329306,2013-12-16
174828,2014-11-09
646392,2013-10-10
1499714,2016-02-16
46929,2013-08-09
5434382,2017-01-16
1795965,2015-07-05
2371846,2015-03-07
8898924,2017-01-05
8925058,2016-04-24
5524697,2015-10-26
1736648,2016-05-16
1906190,2016-09-23
10711680,2017-01-16
1021139,2013-06-27
934189,2014-03-24
705858,2016-11-26
949922,2015-11-19
9840250,2016-11-12
5364081,2015-05-12
687675,2015-11-28
12291351,2016-11-06
4974255,2015-06-17
1587588,2013-11-29
347736,2014-04-29
2408361,2014-08-08
4463932,2015-01-02
3853145,2017-01-21
10611397,2017-01-28
1166854,2015-11-09
9451888,2016-02-08
1213690,2013-07-12
1248702,2016-01-25
10856879,2016-03-09
9712541,2016-10-30
2084090,2016-02-24
7160584,2016-10-01
755676,2014-02-18
1542779,2016-06-11
8920025,2016-05-16
6912389,2015-09-13
333856,2015-05-06
8327772,2016-04-01
68130,2013-04-23
1709120,2016-01-11
7330232,2016-08-07
8531225,2015-12-29
3904915,2016-09-11
8423582,2016-08-21
9234951,2016-06-26
5458673,2016-03-17
345118,2014-03-04
5499806,2016-05-04
7732578,2015-10-04
1883861,2016-12-04
3979017,2015-12-04
11573720,2016-11-11
585041,2016-09-05
11657941,2017-02-28
917932,2016-04-17
10386171,2017-01-22
606351,2013-04-30
433996,2016-04-28
11657941,2016-11-13
1484462,2014-04-18
5769,2016-01-06
11478693,2016-06-13
3363810,2017-02-06
2458182,2016-03-22
4251650,2017-01-29
4856743,2016-09-03
76309,2016-08-12
5768833,2016-07-09
15271201,2016-11-24
12905622,2016-05-22
14423476,2016-09-18
12337021,2016-07-29
4496516,2016-04-13
11512812,2017-01-23
776313,2014-05-05
1757346,2014-11-03
5510293,2016-09-27
738513,2016-05-10
1305257,2016-09-29
1810161,2015-05-27
10930418,2016-05-23
68816,2014-10-27
4249149,2016-07-17
12250858,2016-11-07
4196826,2015-02-08
522136,2013-07-24
1646670,2014-11-09
276522,2015-11-07
5251462,2016-06-16
14352406,2016-10-10
585041,2014-01-21
3312792,2015-11-14
5288586,2015-10-26
11369999,2016-10-31
628034,2016-10-24
5144110,2015-03-12
5532511,2016-03-22
361867,2013-03-12
323733,2013-04-05
771066,2014-09-22
16753588,2017-02-19
1255816,2014-06-04
669469,2016-01-18
15671568,2017-01-21
2918188,2016-04-07
15220704,2017-02-12
2243059,2015-05-31
10279260,2017-02-23
22982,2012-05-07
7542470,2016-09-02
5339972,2015-06-24
6860288,2016-07-04
5879880,2016-01-24
6260941,2017-01-15
4555867,2016-12-22
8289314,2016-03-22
4333425,2014-11-04
1733137,2016-12-15
8824923,2016-03-20
8880787,2016-12-30
5031470,2017-01-02
15357712,2016-10-09
8775493,2016-04-24
16192533,2017-02-28
716119,2016-10-03
1645518,2014-10-06
11547196,2016-04-27
15027272,2016-10-23
8609590,2016-03-06
1883861,2016-12-18
6638084,2016-02-16
2297314,2015-05-25
3914437,2014-11-23
120230,2013-07-17
7747837,2016-11-13
11581222,2016-09-18
1935282,2015-05-19
4170003,2015-09-08
676107,2016-05-22
57187,2014-09-16
4856743,2015-11-03
69810,2013-09-26
2041310,2016-05-16
3979017,2015-08-24
1736648,2016-08-18
221451,2015-10-13
202187,2015-04-17
16557316,2017-02-10
1221070,2016-06-05
5103926,2015-08-02
3603024,2015-12-23
1391925,2016-02-02
2514832,2015-09-03
3842678,2015-04-07
951272,2015-12-22
89475,2017-01-09
8666756,2016-04-11
7593593,2015-09-07
69810,2014-11-22
1860352,2016-07-31
2467428,2016-11-12
753884,2015-03-18
12308357,2016-06-27
11601524,2016-09-06
2466535,2015-03-23
8597001,2016-03-20
10908153,2016-04-17
4906733,2016-05-17
6006758,2016-11-13
983864,2016-09-24
3549443,2016-11-20
11679751,2016-06-19
8540409,2015-11-02
78831,2013-04-16
8968150,2016-04-04
69810,2013-05-13
57187,2016-08-21
344976,2014-03-12
907229,2016-08-16
1997625,2016-11-05
14852926,2016-12-30
8191636,2016-05-02
343462,2013-12-16
12308357,2016-09-19
316885,2014-04-08
6005469,2015-09-17
5083004,2016-10-25
6311988,2016-10-09
11657941,2017-02-04
16827574,2017-02-01
5524697,2016-11-16
4085163,2015-10-13
5525957,2015-11-16
4296664,2015-03-23
1195493,2015-03-18
6721639,2016-04-29
1613733,2016-05-19
961883,2017-02-09
9868816,2016-05-22
15256795,2017-02-08
238657,2016-05-25
2065053,2016-04-29
4030108,2016-02-09
15071830,2016-10-02
4821958,2016-06-06
11959131,2016-05-16
577499,2015-10-02
1484266,2016-05-07
8898924,2016-01-07
6887725,2016-04-23
2390057,2016-09-25
17009224,2017-02-19
6591532,2015-06-23
104386,2015-10-06
936349,2013-03-11
75174,2014-05-27
5565604,2015-04-19
13658216,2016-09-18
166561,2013-03-24
1401834,2014-10-01
6165121,2016-10-16
2502263,2016-09-06
3997642,2015-08-17
705858,2015-11-21
4859230,2016-03-19
846780,2014-05-19
6742178,2016-08-08
4465308,2017-02-28
4208941,2015-02-16
949922,2014-02-13
294708,2015-07-13
6570493,2015-11-20
742593,2014-10-20
8531225,2015-11-07
2502263,2016-10-11
999823,2016-10-18
4263838,2017-02-20
734321,2013-11-11
435211,2016-11-06
2502923,2015-03-22
1570491,2016-02-29
2722532,2016-07-04
4255787,2015-07-10
1703893,2015-02-12
15370280,2016-11-16
4145599,2016-03-22
1673168,2015-02-02
13958677,2016-12-08
5257185,2015-04-15
5682215,2016-02-04
323733,2012-11-02
5372075,2016-09-20
244785,2015-10-26
2406039,2016-12-10
5171509,2015-07-26
4030108,2016-05-16
13154457,2017-02-26
2442412,2016-07-24
1080704,2016-02-13
968883,2016-10-24
13953218,2016-11-27
367445,2016-07-04
3424259,2015-07-02
14402080,2017-02-20
13955034,2016-08-27
5570822,2016-07-14
1462311,2016-04-14
846780,2015-09-21
11862327,2016-06-26
3979017,2015-11-02
76974,2011-09-20
10825957,2016-04-30
11237048,2016-03-30
433996,2015-05-22
753837,2015-05-19
3988298,2014-10-10
1880094,2014-11-30
16063120,2017-02-12
961883,2015-01-23
276522,2012-11-13
7160584,2017-01-13
936349,2014-04-19
174828,2017-02-19
907229,2013-09-02
1906190,2014-06-17
10672987,2016-07-05
2406039,2016-11-02
14864234,2016-11-09
5372834,2017-01-29
999823,2015-11-12
9525274,2016-02-15
5434382,2016-02-21
