amenity_id,amenity_name
116,Pets Allowed
117,Pool
118,TV
119,Iron
120,Elevator in Building
121,First Aid Kit
122,Safety Card
123,Internet
124,Gym
125,Pets live on this property
126,Other pet(s)
127,Wheelchair Accessible
128,Wireless Internet
129,24-Hour Check-in
130,Free Parking on Premises
131,Free Parking on Street
132,Shampoo
133,Laptop Friendly Workspace
134,Cable TV
135,Hair Dryer
136,Carbon Monoxide Detector
137,Fire Extinguisher
138,Hot Tub
139,Dog(s)
140,Lock on Bedroom Door
141,Washer
142,Smoking Allowed
143,Family/Kid Friendly
144,translation missing: en.hosting_amenity_50
145,Essentials
146,Dryer
147,Doorman
148,Smoke Detector
149,Indoor Fireplace
150,Breakfast
151,Air Conditioning
152,Heating
153,Kitchen
154,translation missing: en.hosting_amenity_49
155,Washer / Dryer
156,Suitable for Events
157,Hangers
158,Cat(s)
159,Paid Parking Off Premises
160,Buzzer/Wireless Intercom
