listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
1401625,3 weeks ago,2016-09-06,24,54,84
13624476,4 weeks ago,2016-09-06,0,0,4
754845,2 weeks ago,2016-09-06,8,28,47
9855,6 weeks ago,2016-09-06,29,59,89
14608502,yesterday,2016-09-06,4,19,45
951473,4 weeks ago,2016-09-06,29,59,89
10552485,5 weeks ago,2016-09-06,0,0,0
14682145,never,2016-09-06,26,56,86
12147973,2 weeks ago,2016-09-06,0,0,0
3075044,a week ago,2016-09-06,26,54,84
6976,5 days ago,2016-09-06,19,46,61
1436513,a week ago,2016-09-06,6,16,26
7651065,2 weeks ago,2016-09-06,13,34,59
12386020,2 weeks ago,2016-09-06,5,28,58
5706985,3 days ago,2016-09-06,22,39,69
2843445,yesterday,2016-09-06,30,60,90
753446,today,2016-09-06,12,42,72
849408,today,2016-09-06,20,50,80
12023024,5 days ago,2016-09-06,16,38,68
1668313,6 weeks ago,2016-09-06,6,36,66
2684840,3 months ago,2016-09-06,0,0,0
13547301,yesterday,2016-09-06,8,17,39
5434353,2 days ago,2016-09-06,11,14,44
225979,a week ago,2016-09-06,4,34,64
3420384,today,2016-09-06,20,50,80
13512930,2 months ago,2016-09-06,0,0,0
7482195,5 months ago,2016-09-06,0,0,20
7252607,5 months ago,2016-09-06,0,0,0
2583074,today,2016-09-06,6,27,57
13251243,today,2016-09-06,0,7,32
225834,a week ago,2016-09-06,0,0,24
6400432,3 weeks ago,2016-09-06,0,0,0
5498472,10 months ago,2016-09-06,0,0,0
894539,2 weeks ago,2016-09-06,0,0,0
879929,2 weeks ago,2016-09-06,0,0,0
9218312,2 weeks ago,2016-09-06,8,16,37
321328,today,2016-09-06,21,51,81
1724900,yesterday,2016-09-06,4,8,38
13937181,today,2016-09-06,2,28,53
3968797,a week ago,2016-09-06,0,0,0
1494726,5 days ago,2016-09-06,20,50,80
8473851,4 weeks ago,2016-09-06,11,41,71
3575220,2 weeks ago,2016-09-06,0,0,0
1591827,4 weeks ago,2016-09-06,0,0,0
3229255,4 days ago,2016-09-06,8,20,46
1721016,yesterday,2016-09-06,19,43,73
12535687,today,2016-09-06,17,40,58
12994227,3 weeks ago,2016-09-06,6,10,10
12927298,today,2016-09-06,16,34,64
169938,today,2016-09-06,17,24,54
594693,today,2016-09-06,3,23,53
2384581,2 weeks ago,2016-09-06,30,60,90
735970,12 months ago,2016-09-06,0,0,0
4262255,6 days ago,2016-09-06,0,8,26
4000384,2 weeks ago,2016-09-06,7,17,47
6693305,6 months ago,2016-09-06,0,0,0
6730758,3 days ago,2016-09-06,1,3,3
6248970,6 weeks ago,2016-09-06,7,13,43
12806707,4 weeks ago,2016-09-06,5,35,65
14246616,4 weeks ago,2016-09-06,0,0,0
3703674,3 months ago,2016-09-06,0,0,0
4792901,8 months ago,2016-09-06,0,0,0
5717528,4 weeks ago,2016-09-06,11,41,71
5601743,1 week ago,2016-09-06,8,32,62
13333862,3 months ago,2016-09-06,0,0,0
519272,5 months ago,2016-09-06,0,0,0
14090779,4 weeks ago,2016-09-06,0,12,15
8481291,4 months ago,2016-09-06,0,0,0
6990904,6 weeks ago,2016-09-06,0,0,0
197727,2 months ago,2016-09-06,0,1,31
932853,today,2016-09-06,4,32,62
11159585,5 weeks ago,2016-09-06,30,60,90
9677354,2 months ago,2016-09-06,28,58,88
13426831,2 months ago,2016-09-06,0,0,0
7956634,today,2016-09-06,0,0,0
568234,today,2016-09-06,13,37,60
1030500,6 weeks ago,2016-09-06,3,11,41
13652374,2 months ago,2016-09-06,0,0,0
12930651,4 days ago,2016-09-06,0,0,0
3997572,15 months ago,2016-09-06,30,60,90
4223387,5 weeks ago,2016-09-06,28,53,83
12855396,4 months ago,2016-09-06,6,36,66
12426823,4 months ago,2016-09-06,0,0,0
14361322,5 days ago,2016-09-06,0,4,34
2963419,7 weeks ago,2016-09-06,0,0,4
5904732,3 weeks ago,2016-09-06,14,28,58
3591359,a week ago,2016-09-06,0,0,14
2538536,7 months ago,2016-09-06,0,28,58
4975581,today,2016-09-06,9,29,50
4767023,3 weeks ago,2016-09-06,0,0,0
6364042,3 weeks ago,2016-09-06,7,26,56
7986179,3 weeks ago,2016-09-06,0,0,0
