listing_id,amenity_id
9364092,116
9364092,118
9364092,119
9364092,120
9364092,123
9364092,129
9364092,133
9364092,134
9364092,136
9364092,143
9364092,146
9364092,148
9364092,151
9364092,152
9364092,153
9364092,157
9364092,161
14428745,118
14428745,119
14428745,123
14428745,128
14428745,129
14428745,130
14428745,132
14428745,133
14428745,135
14428745,140
14428745,141
14428745,143
14428745,145
14428745,146
14428745,148
14428745,152
14428745,157
14428745,161
10052622,118
10052622,119
10052622,120
10052622,123
10052622,124
10052622,132
10052622,134
10052622,135
10052622,141
10052622,143
10052622,145
10052622,146
10052622,147
10052622,151
10052622,152
10052622,153
10052622,157
10052622,161
2747654,118
2747654,123
2747654,128
2747654,134
2747654,145
2747654,151
2747654,152
2747654,153
2747654,161
13334098,123
13334098,128
13334098,130
13334098,133
13334098,136
13334098,137
13334098,141
13334098,143
13334098,145
13334098,146
13334098,148
13334098,151
13334098,153
13334098,157
13334098,161
195515,118
195515,120
195515,123
195515,124
195515,128
195515,132
195515,134
195515,136
195515,141
195515,143
195515,145
195515,146
195515,148
195515,151
195515,152
195515,153
195515,161
3359170,118
3359170,120
3359170,123
3359170,124
3359170,128
3359170,134
3359170,141
3359170,143
3359170,145
3359170,146
3359170,147
3359170,151
3359170,152
3359170,153
3359170,161
2764624,118
2764624,123
2764624,128
2764624,136
2764624,137
2764624,141
2764624,144
2764624,145
2764624,146
2764624,148
2764624,151
2764624,152
2764624,153
2764624,154
2764624,161
2135075,116
2135075,118
2135075,119
2135075,123
2135075,128
2135075,129
2135075,132
2135075,133
2135075,134
2135075,135
2135075,136
2135075,143
2135075,144
2135075,145
2135075,146
2135075,148
2135075,151
2135075,152
2135075,153
2135075,157
2135075,161
13613562,118
13613562,123
13613562,128
13613562,132
13613562,143
13613562,145
13613562,151
13613562,152
13613562,153
13613562,157
13613562,161
7035556,118
7035556,119
7035556,122
7035556,123
7035556,128
7035556,129
7035556,130
7035556,132
7035556,133
7035556,135
7035556,136
7035556,137
7035556,144
7035556,145
7035556,146
7035556,148
7035556,151
7035556,152
7035556,153
7035556,154
7035556,157
7035556,160
7035556,161
5884210,118
5884210,141
5884210,146
5884210,151
5884210,152
5884210,153
5884210,161
14085771,118
14085771,119
14085771,123
14085771,128
14085771,132
14085771,133
14085771,134
14085771,135
14085771,136
14085771,141
14085771,143
14085771,145
14085771,146
14085771,148
14085771,151
14085771,152
14085771,153
14085771,157
14085771,161
169938,118
169938,123
169938,130
169938,134
169938,141
169938,143
169938,146
169938,151
169938,152
169938,153
169938,155
169938,161
9676551,119
9676551,123
9676551,128
9676551,133
9676551,135
9676551,136
9676551,137
9676551,144
9676551,145
9676551,146
9676551,148
9676551,151
9676551,152
9676551,154
9676551,157
9676551,161
14683493,118
14683493,119
14683493,121
14683493,123
14683493,128
14683493,130
14683493,132
14683493,133
14683493,135
14683493,136
14683493,137
14683493,140
14683493,143
14683493,145
14683493,146
14683493,148
14683493,150
14683493,151
14683493,152
14683493,157
14683493,161
13590412,118
13590412,119
13590412,123
13590412,128
13590412,132
13590412,133
13590412,137
13590412,145
13590412,151
13590412,152
13590412,153
13590412,157
13590412,161
1428355,118
1428355,119
1428355,123
1428355,128
1428355,134
1428355,135
1428355,141
1428355,146
1428355,151
1428355,152
1428355,153
1428355,161
13924495,119
13924495,121
13924495,122
13924495,123
13924495,128
13924495,129
13924495,130
13924495,132
13924495,133
13924495,135
13924495,136
13924495,141
13924495,143
13924495,145
13924495,146
13924495,148
13924495,151
13924495,152
13924495,153
13924495,157
13924495,160
13924495,161
7984226,116
7984226,123
7984226,128
7984226,136
7984226,137
7984226,148
7984226,151
7984226,152
7984226,153
7984226,160
7984226,161
12184433,116
12184433,123
12184433,128
12184433,142
12184433,143
12184433,151
12184433,161
705900,118
705900,119
705900,120
705900,123
705900,128
705900,129
705900,132
705900,133
705900,134
705900,135
705900,136
705900,144
705900,145
705900,146
705900,148
705900,149
705900,151
705900,152
705900,153
705900,154
705900,157
705900,161
50032,116
50032,118
50032,123
50032,128
50032,134
50032,141
50032,143
50032,146
50032,149
50032,151
50032,152
50032,153
50032,155
50032,161
4294557,116
4294557,118
4294557,119
4294557,123
4294557,125
4294557,128
4294557,133
4294557,134
4294557,135
4294557,136
4294557,139
4294557,141
4294557,143
4294557,145
4294557,146
4294557,148
4294557,149
4294557,151
4294557,152
4294557,153
4294557,157
4294557,161
56927,116
56927,118
56927,120
56927,123
56927,134
56927,141
56927,146
56927,151
56927,152
56927,153
56927,161
13589,118
13589,120
13589,123
13589,128
13589,134
13589,141
13589,143
13589,146
13589,151
13589,152
13589,153
13589,161
14872018,118
14872018,119
14872018,120
14872018,123
14872018,128
