id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12147973,Sunny Bungalow in the City,31303940,Virginia,Roslindale,42.2826188,-71.13306793,Entire home/apt,250,2,0,,,1,0
3075044,Charming room in pet friendly apt,2572247,Andrea,Roslindale,42.28624082,-71.13437396,Private room,65,2,36,13-08-16,1.3,1,359
6976,Mexican Folk Art Haven in Boston,16701,Phil,Roslindale,42.29243789,-71.13576525,Private room,65,3,41,05-08-16,0.47,1,319
1436513,Spacious Sunny Bedroom Suite in Historic Home,6031442,Meghna,Roslindale,42.28110619,-71.12102117,Private room,75,1,1,28-08-16,1,1,98
7651065,Come Home to Boston,15396970,Linda,Roslindale,42.28451221,-71.13625805,Private room,79,2,29,01-09-16,2.25,1,334
12386020,Private Bedroom + Great Coffee,64200298,Deborah,Roslindale,42.2916898,-71.13189277,Private room,75,2,8,28-08-16,1.7,1,58
5706985,New Lrg Studio apt 15 min to Boston,6570877,Juliet,Roslindale,42.28138963,-71.13119042,Entire home/apt,100,1,57,01-09-16,4,3,344
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,Roslindale,42.2819461,-71.14102161,Private room,75,1,67,04-09-16,2.38,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,Roslindale,42.28587764,-71.12490956,Private room,58,2,65,30-08-16,5.36,1,347
849408,Perfect & Practical Boston Rental,4434391,Damon,Roslindale,42.28882028,-71.1395101,Entire home/apt,229,4,33,27-05-16,1.01,2,107
12023024,Cozy room in a well located house,64331842,Ricardo,Roslindale,42.2864482,-71.13932539,Private room,60,1,1,17-06-16,0.36,1,343
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,Roslindale,42.28194183,-71.1333719,Private room,57,1,17,18-08-16,0.48,2,341
2684840,"Updated, spacious living in Rozzie",13743098,Megan,Roslindale,42.29172341,-71.13155602,Entire home/apt,93,1,1,23-07-16,0.64,2,0
13547301,2 Bedroom Apartment in Boston,57402911,Georgia,Roslindale,42.28764103,-71.12988287,Entire home/apt,150,2,12,03-09-16,4.93,1,129
5434353,Quiet  Beauty in Boston,9658771,Anthony,Roslindale,42.28626474,-71.13706513,Entire home/apt,145,3,7,06-08-16,0.56,1,319
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,Roslindale,42.28145207,-71.12925004,Private room,60,1,70,02-08-16,1.16,2,339
3420384,"Convient, Safe and Comfortable",431385,Cynthia,Roslindale,42.27440801,-71.12529404,Private room,165,3,1,26-08-16,1,1,349
13512930,Roslindale Beauty next to Arboretum,13743098,Megan,Roslindale,42.29181492,-71.13158793,Private room,75,1,1,20-06-16,0.37,2,0
7482195,Private room near bus stop,34552909,Barrie,Roslindale,42.28222476,-71.11518856,Private room,49,5,0,,,3,295
7252607,Private Room near Public Transport,34552909,Barrie,Roslindale,42.28280175,-71.11514509,Private room,49,5,4,21-08-16,0.29,3,262
2583074,Cozy room in a charming villa.,13226301,Mohamed,Roslindale,42.27964782,-71.13605873,Private room,40,2,31,30-08-16,1.24,3,332
