listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
7698284,5 days ago,2016-05-21,13,33,41
1456614,2 weeks ago,2016-05-21,5,24,41
8779036,5 days ago,2016-05-21,23,23,23
3372115,2 weeks ago,2016-05-18,0,0,0
6782213,4 months ago,2016-05-20,0,0,0
8045225,a week ago,2016-05-19,11,26,53
11509014,3 months ago,2016-05-19,0,0,0
11355438,today,2016-05-20,1,1,1
259616,today,2016-05-18,11,18,24
12622842,today,2016-05-17,10,40,45
7510774,3 months ago,2016-05-18,30,60,90
7510622,a week ago,2016-05-18,18,48,78
12521444,3 days ago,2016-05-19,20,50,55
4581104,2 weeks ago,2016-05-20,16,46,76
12546318,5 days ago,2016-05-21,20,50,50
9009776,5 months ago,2016-05-18,2,6,6
7439434,7 months ago,2016-05-17,28,58,88
6894767,2 weeks ago,2016-05-18,8,22,35
7369421,5 months ago,2016-05-17,0,0,0
4244250,2 weeks ago,2016-05-17,2,2,11
1641575,6 months ago,2016-05-18,28,58,88
3395085,3 months ago,2016-05-18,0,0,0
10549975,3 weeks ago,2016-05-17,9,21,46
5558592,a week ago,2016-05-20,15,45,75
4211844,4 days ago,2016-05-17,13,43,73
8427693,3 days ago,2016-05-17,6,13,29
6348993,a week ago,2016-05-17,8,16,40
9530842,6 months ago,2016-05-17,0,0,0
7600940,today,2016-05-18,0,0,1
3412478,today,2016-05-18,11,40,70
4067759,3 weeks ago,2016-05-18,15,45,75
8922674,today,2016-05-18,17,30,54
12095588,today,2016-05-18,10,30,48
8760285,today,2016-05-19,9,24,53
3968613,3 days ago,2016-05-20,18,47,77
3961440,3 days ago,2016-05-20,15,44,74
8741945,3 days ago,2016-05-20,0,0,0
4077803,today,2016-05-21,3,3,7
3561443,today,2016-05-21,11,41,71
13029504,a week ago,2016-05-21,16,46,76
1005908,4 days ago,2016-05-21,0,5,19
3241711,yesterday,2016-05-17,0,0,0
11650301,today,2016-05-17,2,14,19
6865639,6 months ago,2016-05-19,0,0,0
3645091,2 weeks ago,2016-05-21,0,0,0
3848525,2 months ago,2016-05-17,25,51,81
1609666,9 months ago,2016-05-18,30,60,90
8349724,5 weeks ago,2016-05-19,21,47,74
9201317,today,2016-05-20,11,35,58
4051568,5 weeks ago,2016-05-21,2,2,4
12451580,today,2016-05-21,24,54,84
5672771,a week ago,2016-05-21,15,26,35
10500808,today,2016-05-17,1,2,3
7592501,6 days ago,2016-05-18,14,34,60
1802131,3 days ago,2016-05-20,5,5,5
785140,2 months ago,2016-05-20,0,0,0
1845556,today,2016-05-20,14,25,54
4065526,4 months ago,2016-05-21,1,1,1
9952821,5 months ago,2016-05-21,0,0,0
10705932,4 months ago,2016-05-18,0,0,0
9825660,a week ago,2016-05-18,4,24,46
5762080,3 weeks ago,2016-05-18,2,2,26
10037506,4 days ago,2016-05-18,4,26,29
1811842,2 months ago,2016-05-20,6,28,58
9237825,a week ago,2016-05-20,5,5,5
9788675,2 weeks ago,2016-05-20,11,35,50
9771731,a week ago,2016-05-21,22,52,82
9886089,3 weeks ago,2016-05-21,16,41,71
5232557,8 months ago,2016-05-21,30,60,90
11496933,today,2016-05-21,14,36,61
11529607,3 months ago,2016-05-21,0,0,0
7789746,a week ago,2016-05-18,14,43,73
4808822,yesterday,2016-05-19,10,40,70
3782011,2 weeks ago,2016-05-19,2,8,9
10017182,2 months ago,2016-05-19,0,0,0
721758,a week ago,2016-05-19,6,23,46
12871366,3 days ago,2016-05-20,3,12,12
