listing_id,amenity_id
11469990,3
11469990,5
11469990,8
11469990,13
11469990,14
11469990,15
11469990,16
11469990,17
11469990,19
11469990,20
11469990,21
11469990,25
11469990,29
11469990,30
11469990,32
11469990,35
11469990,36
11469990,37
11469990,41
11469990,44
12390070,1
12390070,2
12390070,3
12390070,4
12390070,5
12390070,6
12390070,7
12390070,8
12390070,9
12390070,10
12390070,13
12390070,14
12390070,15
12390070,16
12390070,17
12390070,19
12390070,21
12390070,22
12390070,23
12390070,24
12390070,25
12390070,28
12390070,29
12390070,30
12390070,32
12390070,33
12390070,35
12390070,36
12390070,37
12390070,38
12390070,41
12390070,44
4014257,44
7004221,3
7004221,4
7004221,5
7004221,6
7004221,8
7004221,13
7004221,14
7004221,16
7004221,17
7004221,18
7004221,19
7004221,20
7004221,21
7004221,25
7004221,27
7004221,29
7004221,30
7004221,32
7004221,33
7004221,35
7004221,36
7004221,37
7004221,38
7004221,41
7004221,43
7004221,44
12400738,1
12400738,2
12400738,3
12400738,4
12400738,5
12400738,8
12400738,9
12400738,13
12400738,14
12400738,17
12400738,18
12400738,25
12400738,29
12400738,30
12400738,32
12400738,35
12400738,36
12400738,37
12400738,41
12400738,44
4615413,3
4615413,5
4615413,6
4615413,7
4615413,8
4615413,13
4615413,14
4615413,15
4615413,16
4615413,17
4615413,19
4615413,20
4615413,21
4615413,25
4615413,27
4615413,28
4615413,29
4615413,30
4615413,32
4615413,34
4615413,36
4615413,37
4615413,41
4615413,44
8183443,2
8183443,3
8183443,4
8183443,5
8183443,8
8183443,9
8183443,12
8183443,13
8183443,14
8183443,16
8183443,17
8183443,18
8183443,19
8183443,20
8183443,21
8183443,22
8183443,25
8183443,27
8183443,29
8183443,30
8183443,31
8183443,32
8183443,33
8183443,35
8183443,36
8183443,37
8183443,41
8183443,44
8173876,3
8173876,8
8173876,13
8173876,14
8173876,15
8173876,28
8173876,29
8173876,35
8173876,36
8173876,37
8173876,38
8173876,44
276530,3
276530,5
276530,6
276530,7
276530,8
276530,13
276530,14
276530,15
276530,16
276530,17
276530,18
276530,19
276530,20
276530,21
276530,22
276530,25
276530,27
276530,29
276530,30
276530,32
276530,35
276530,36
276530,37
276530,41
276530,44
12592099,3
12592099,8
12592099,13
12592099,15
12592099,20
12592099,32
12592099,33
12592099,35
12592099,36
12592099,37
12592099,44
5402378,1
5402378,3
5402378,5
5402378,6
5402378,7
5402378,8
5402378,13
5402378,14
5402378,15
5402378,16
5402378,17
5402378,18
5402378,19
5402378,20
5402378,21
5402378,22
5402378,25
5402378,27
5402378,29
5402378,30
5402378,32
5402378,36
5402378,37
5402378,40
5402378,41
5402378,44
9952821,3
9952821,5
9952821,8
9952821,13
9952821,15
9952821,16
9952821,17
9952821,18
9952821,20
9952821,21
9952821,25
9952821,29
9952821,30
9952821,32
9952821,35
9952821,36
9952821,37
9952821,41
9952821,44
12534537,1
12534537,3
12534537,5
12534537,8
12534537,13
12534537,14
12534537,15
12534537,16
12534537,17
12534537,18
12534537,19
12534537,20
12534537,21
12534537,25
12534537,27
12534537,29
12534537,30
12534537,32
12534537,35
12534537,36
12534537,37
12534537,41
12534537,44
5591156,5
5591156,6
5591156,7
5591156,8
5591156,10
5591156,13
5591156,14
5591156,15
5591156,16
5591156,17
5591156,19
5591156,20
5591156,21
5591156,23
5591156,25
5591156,27
5591156,29
5591156,30
5591156,32
5591156,36
5591156,37
5591156,40
5591156,41
5591156,44
12002133,1
12002133,6
12002133,10
12002133,16
12002133,19
12002133,20
12002133,21
12002133,23
12002133,25
12002133,29
12002133,30
12002133,32
12002133,33
12002133,35
12002133,36
12002133,37
12002133,41
12002133,44
12285777,3
12285777,5
12285777,15
12285777,16
12285777,19
12285777,25
12285777,30
12285777,36
12285777,37
12285777,44
7010341,3
7010341,5
7010341,6
7010341,7
7010341,8
7010341,13
7010341,14
7010341,15
7010341,16
7010341,17
7010341,19
7010341,20
7010341,21
7010341,25
7010341,29
7010341,30
7010341,32
7010341,35
7010341,36
7010341,37
7010341,41
7010341,44
662390,8
662390,13
662390,15
662390,24
662390,25
662390,30
662390,32
662390,34
662390,35
662390,36
662390,37
662390,44
12815466,2
12815466,3
12815466,4
12815466,5
12815466,8
12815466,9
12815466,13
12815466,15
12815466,16
12815466,17
12815466,18
12815466,19
12815466,20
12815466,22
12815466,25
12815466,27
12815466,29
12815466,30
12815466,32
12815466,33
12815466,35
12815466,36
12815466,37
12815466,41
12815466,44
7637933,3
7637933,8
7637933,13
7637933,16
7637933,20
7637933,25
7637933,29
7637933,30
7637933,32
7637933,33
7637933,35
7637933,36
7637933,37
7637933,44
5668842,5
5668842,6
5668842,8
5668842,12
5668842,13
5668842,14
5668842,15
5668842,17
5668842,19
5668842,20
5668842,25
5668842,27
5668842,30
5668842,32
5668842,35
5668842,36
5668842,37
5668842,41
5668842,44
11304012,3
11304012,5
11304012,6
11304012,8
11304012,10
11304012,12
11304012,13
11304012,14
11304012,16
11304012,17
11304012,18
11304012,19
11304012,20
11304012,21
11304012,25
11304012,27
11304012,29
11304012,30
11304012,32
11304012,35
11304012,36
11304012,37
11304012,41
11304012,44
10749605,2
10749605,4
10749605,9
10749605,14
10749605,15
10749605,16
10749605,17
10749605,19
10749605,25
10749605,27
10749605,29
10749605,30
10749605,35
10749605,36
10749605,37
10749605,41
10749605,44
823343,3
823343,8
823343,13
823343,15
823343,25
823343,27
823343,30
823343,33
823343,35
823343,36
823343,37
823343,44
7973722,3
7973722,4
7973722,8
7973722,13
7973722,15
7973722,16
7973722,20
7973722,25
7973722,27
7973722,30
7973722,32
7973722,35
7973722,36
7973722,37
7973722,44
11509014,3
11509014,8
11509014,20
11509014,25
11509014,30
11509014,32
11509014,35
11509014,36
11509014,44
12376316,44
275403,3
275403,5
275403,6
275403,7
275403,8
275403,9
275403,13
275403,14
275403,15
275403,16
275403,17
275403,18
275403,19
275403,20
275403,21
275403,22
275403,25
275403,27
275403,29
275403,30
275403,32
275403,35
275403,36
275403,37
275403,41
275403,44
9618469,1
9618469,3
9618469,8
9618469,10
9618469,13
9618469,16
9618469,21
9618469,23
9618469,25
9618469,27
9618469,28
9618469,30
9618469,32
9618469,35
9618469,36
9618469,41
9618469,44
12407635,3
12407635,5
12407635,6
12407635,7
12407635,8
12407635,13
12407635,14
12407635,15
12407635,16
12407635,19
12407635,20
12407635,21
12407635,25
12407635,28
12407635,29
12407635,30
12407635,32
12407635,33
12407635,34
12407635,35
12407635,36
12407635,37
12407635,38
12407635,41
12407635,44
8799154,1
8799154,3
8799154,4
8799154,6
8799154,8
8799154,9
8799154,13
8799154,14
8799154,16
8799154,17
8799154,19
8799154,20
8799154,21
8799154,25
8799154,27
8799154,29
8799154,30
8799154,32
8799154,35
8799154,36
8799154,37
8799154,41
8799154,43
8799154,44
6607614,26
6607614,27
6607614,44
10598339,1
10598339,3
10598339,9
10598339,15
10598339,19
10598339,25
10598339,29
10598339,30
10598339,36
10598339,37
10598339,44
5221963,3
5221963,8
5221963,13
5221963,16
5221963,21
5221963,25
5221963,28
5221963,29
5221963,30
5221963,32
5221963,34
5221963,35
5221963,36
5221963,37
5221963,38
5221963,44
632709,1
632709,5
632709,8
632709,13
632709,14
632709,16
632709,17
632709,19
632709,20
632709,27
632709,28
632709,29
632709,30
632709,32
632709,41
632709,44
8940906,8
8940906,13
8940906,20
8940906,25
8940906,29
8940906,30
8940906,32
8940906,36
8940906,37
8940906,44
7477952,3
7477952,8
7477952,13
7477952,15
7477952,16
7477952,18
7477952,20
7477952,25
7477952,27
7477952,29
7477952,30
7477952,32
7477952,35
7477952,36
7477952,44
5682860,44
5185375,3
5185375,8
5185375,13
5185375,18
5185375,29
5185375,36
5185375,37
5185375,44
478642,8
478642,13
478642,15
478642,25
478642,30
478642,36
478642,37
478642,44
12377085,3
12377085,8
12377085,13
12377085,14
12377085,15
12377085,17
12377085,19
12377085,20
12377085,25
12377085,29
12377085,30
12377085,32
12377085,35
12377085,36
12377085,37
12377085,41
12377085,44
11241369,3
11241369,5
11241369,8
11241369,13
11241369,14
11241369,15
11241369,16
11241369,17
11241369,18
11241369,19
11241369,25
11241369,27
11241369,29
11241369,30
