neighbourhood_name,zip_code
Hampden,80231
Golden Triangle,80203
Whittier,80205
West Colfax,80204
Globeville,80216
Washington Virginia Vale,80224
LoDo,80204
Rosedale,80223
East Colfax,80220
Washington Park,80209
Fort Logan,80235
Capitol Hill,80238
Five Points,80216
Berkeley,80212
Washington Park West,80209
Hilltop,80247
Chaffee Park,80221
West Highland,80211
Gateway / Green Valley Ranch,80239
Wellshire,80210
Stapleton,80238
Sloane Lake,80212
Speer,80209
LoDo,80202
City Park,80206
Capitol Hill,80203
Hampden,80222
Mar Lee,80219
Skyland,80206
City Park West,80206
Highland,80210
City Park West,80218
Goldsmith,80224
Speer,80223
Hilltop,80246
Lowry Field,80230
Berkeley,80211
Goldsmith,80222
Fort Logan,80123
CBD,80202
Washington Virginia Vale,80246
Five Points,80202
Overland,80223
Overland,80210
Baker,80223
Virginia Village,80222
South Park Hill,80220
Indian Creek,80231
Bear Valley,80227
City Park West,80205
Northeast Park Hill,80216
Sloane Lake,80214
Baker,80203
LoDo,80205
Hampden South,80237
Congress Park,80206
Westwood,80219
Washington Virginia Vale,80247
City Park,80205
Speer,80203
Clayton,80205
Harvey Park South,80236
Auraria,80202
Jefferson Park,80211
Sloane Lake,80204
Virginia Village,80246
Highland,80202
Baker,80204
Harvey Park,80219
Ruby Hill,80219
Capitol Hill,80218
Golden Triangle,80236
North Capitol Hill,80205
Belcaro,80209
Five Points,80205
Washington Park,80210
Northeast Park Hill,80207
Hale,80220
Sloane Lake,80202
Barnum,80219
Villa Park,80204
Bear Valley,80222
Barnum West,80219
Cherry Creek,80209
Regis,80221
Montbello,80239
Lowry Field,80220
University,80210
Golden Triangle,80204
University Park,80222
Sunnyside,80211
Windsor,80247
Hilltop,80220
Five Points,80218
North Capitol Hill,80218
Southmoor Park,80237
University Park,80210
Lincoln Park,80204
Marston,80123
Cherry Creek,80206
Cory - Merrill,80210
Auraria,80204
Speer,80218
North Capitol Hill,80202
Skyland,80205
Barnum West,80204
West Highland,80212
Rosedale,80210
Virginia Village,80224
Gateway / Green Valley Ranch,80249
Washington Park West,80203
College View / South Platte,80236
Valverde,80219
Sloane Lake,80211
Highland,80211
Cheesman Park,80206
Montclair,80220
Cole,80205
Platt Park,80210
Cheesman Park,80218
Hampden,80224
Regis,80212
Fort Logan,80236
Washington Park West,80210
University Hills,80222
North Capitol Hill,80203
North Park Hill,80207
Country Club,80218
Kennedy,80014
Athmar Park,80219
Cherry Creek,80246
Athmar Park,80223
Hilltop,80224
