id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12622842,Single Bed in a Cozy Denver Home!!!,37425718,Manda,Chaffee Park,39.79084945,-105.0093129,Private room,35,2,5,5/15/2016,5,3,45
7510774,Cozy Bungalow Down Town Denver,37931416,Mario,Chaffee Park,39.78542724,-105.013649,Entire home/apt,129,1,7,3/24/2016,0.82,2,365
7510622,Cozy Bungalow Down Town Denver Room,37931416,Mario,Chaffee Park,39.78598513,-105.0136126,Private room,99,1,1,8/20/2015,0.11,2,353
12521444,Cozy home near Denver!,37425718,Manda,Chaffee Park,39.78883796,-105.009169,Private room,70,2,1,4/23/2016,1,3,55
4581104,Adorable home near downtown Denver,8153242,Kristi,Chaffee Park,39.78823389,-105.0063542,Private room,50,2,13,2/2/2016,1.05,1,351
12546318,Cozy room near Downtown Denver!!,37425718,Manda,Chaffee Park,39.78932735,-105.0075179,Private room,45,2,4,5/11/2016,4,3,190
9009776,Denver Digs,42329500,Spencer,Chaffee Park,39.78943398,-105.0222455,Entire home/apt,60,3,0,,,1,10
7439434,Single Family Home in Sunnyside,31941255,Aaron,Chaffee Park,39.78772226,-105.0230358,Entire home/apt,275,1,4,8/16/2015,0.4,1,363
6894767,Small house,23464298,Marge,Chaffee Park,39.7883175,-105.0084689,Entire home/apt,100,1,0,,,1,300
7369421,Matt's House,38616724,Matt,Chaffee Park,39.78863875,-105.0178551,Private room,100,1,3,1/2/2016,0.3,1,0
4244250,Single Room in Historic Sunnyside,1598933,Levi,Chaffee Park,39.7851345,-105.0159512,Private room,44,1,22,2/2/2016,1.17,2,280
1641575,"Private,  Cozy Room in Denver",8715239,Wendy,Chaffee Park,39.78521769,-105.0188612,Private room,85,2,4,6/21/2015,0.18,1,363
3395085,Entire main floor with private bath,17128411,Jenni,Chaffee Park,39.78478707,-105.0237391,Private room,70,1,29,3/17/2016,1.29,1,137
10549975,"Cute, single family Sunnyside home",54409903,Maria,Chaffee Park,39.78709026,-105.0086379,Entire home/apt,90,1,7,4/24/2016,1.74,1,199
5558592,Private and Cozy,28817073,Tammy,Chaffee Park,39.78893437,-105.0230983,Entire home/apt,125,1,22,5/16/2016,1.63,1,75
4211844,Lttle house in the city-trendy area,20529963,Erika,Sunnyside,39.77162017,-105.0111407,Entire home/apt,150,2,3,9/27/2015,0.18,4,348
8427693,"Comfy, Prvt Bd/Ba in a  Great Area!",28359129,Matt & Vicki,Sunnyside,39.77408136,-105.0120487,Private room,54,2,24,5/12/2016,5.54,2,29
6348993,"Cozy, Private, Spacious Bed/Bath",28359129,Matt & Vicki,Sunnyside,39.77140404,-105.0127768,Private room,49,2,79,5/12/2016,7.1,2,40
9530842,Charming Sunnyside Cottage,2776324,Kate,Sunnyside,39.77974068,-105.0151904,Entire home/apt,100,1,0,,,1,0
7600940,Sunny Home in Perfect Location,12145221,Michael,Sunnyside,39.77168072,-105.0199432,Entire home/apt,229,1,1,2/29/2016,0.37,3,276
3412478,Denver Bungalow With Artsy Vibe,17205399,Brandy,Sunnyside,39.77267291,-105.0020339,Private room,65,1,117,5/8/2016,5.52,1,345
4067759,"Trendy Sunnyside/Lohi, Quiet Twn Rm",20529963,Erika,Sunnyside,39.77149734,-105.0112641,Private room,53,1,41,5/4/2016,2.13,4,350
8922674,Luxury Sunnyside w/rooftop deck,27134669,Matt,Sunnyside,39.77379656,-105.0057669,Private room,70,2,16,5/5/2016,2.44,3,329
12095588,House & Garden by Downtown,15965917,Chris,Sunnyside,39.771607,-105.0131916,Entire home/apt,150,1,3,5/4/2016,2.31,1,135
8760285,Luxury Sunnyside 3-Story Townhouse,27134669,Matt,Sunnyside,39.77315052,-105.0071858,Entire home/apt,172,2,27,5/9/2016,3.8,3,319
3968613,Trendy Sunnyside/Lohi: Quiet Qn Rm,20529963,Erika,Sunnyside,39.77309611,-105.0099677,Private room,55,1,58,5/14/2016,2.82,4,351
3961440,2 rm suite for 4: Sunnyside/ Lohi,20529963,Erika,Sunnyside,39.77276899,-105.009982,Private room,103,1,9,9/21/2015,0.44,4,348
8741945,Sunnyside Luxury 3-Story Townhome,27134669,Matt,Sunnyside,39.77478816,-105.0060366,Entire home/apt,172,2,8,4/5/2016,1.22,3,3
4077803,Hip 2 Bed in Beautiful Sunnyside,12145221,Michael,Sunnyside,39.77059879,-105.0199464,Entire home/apt,150,1,22,4/18/2016,1.67,3,282
