amenity_id,amenity_name
1,Pool
2,Keypad
3,TV
4,Iron
5,Hair dryer
6,Internet
7,Gym
8,Pets live on this property
9,Other pet(s)
10,Wireless Internet
11,Smartlock
12,Fire extinguisher
13,Shampoo
14,Cable TV
15,Buzzer/wireless intercom
16,Indoor fireplace
17,Lockbox
18,Laptop friendly workspace
19,Free parking on street
20,Dog(s)
21,Safety card
22,Washer
23,Elevator in building
24,Wheelchair accessible
25,First aid kit
26,Hot tub
27,24-hour check-in
28,Pets allowed
29,translation missing: en.hosting_amenity_50
30,Essentials
31,Dryer
32,Carbon monoxide detector
33,Doorman
34,Doorman Entry
35,Smoking allowed
36,Breakfast
37,Heating
38,Kitchen
39,Free parking on premises
40,translation missing: en.hosting_amenity_49
41,Smoke detector
42,Air conditioning
43,Lock on bedroom door
44,Hangers
45,Cat(s)
46,""
47,Suitable for events
48,Family/kid friendly
