listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
15850791,today,2016-11-06,4,34,64
15849272,never,2016-11-06,30,60,90
15843163,yesterday,2016-11-06,18,44,45
15841288,yesterday,2016-11-06,0,0,1
15832864,yesterday,2016-11-06,25,25,25
15832434,2 days ago,2016-11-06,17,47,77
15830455,today,2016-11-06,30,60,90
15829531,yesterday,2016-11-06,22,52,82
15821682,2 days ago,2016-11-06,2,31,61
15812719,3 days ago,2016-11-06,21,51,81
15804699,today,2016-11-06,9,34,34
15804633,2 days ago,2016-11-06,13,43,73
15804432,yesterday,2016-11-06,21,51,81
15792673,today,2016-11-06,24,40,66
15791219,3 days ago,2016-11-06,7,7,12
15789931,5 days ago,2016-11-06,24,54,84
15789786,today,2016-11-06,30,60,90
15787123,today,2016-11-06,22,52,82
15786338,yesterday,2016-11-06,0,5,35
15786050,2 days ago,2016-11-06,0,16,29
15770581,6 days ago,2016-11-06,16,46,62
15769036,6 days ago,2016-11-06,14,14,20
15767530,2 days ago,2016-11-06,26,56,86
15759065,never,2016-11-06,29,59,89
15744049,today,2016-11-06,25,55,85
15743945,today,2016-11-06,21,49,79
15743698,today,2016-11-06,23,40,70
15742745,5 days ago,2016-11-06,18,36,66
15738720,today,2016-11-06,19,36,36
15734081,yesterday,2016-11-06,7,37,67
15733679,today,2016-11-06,16,18,19
15733588,a week ago,2016-11-06,0,0,0
15728518,a week ago,2016-11-06,13,31,61
15724441,today,2016-11-06,28,52,82
15708408,today,2016-11-06,7,11,41
15706189,5 days ago,2016-11-06,0,0,11
15702344,today,2016-11-06,16,33,60
15692804,2 weeks ago,2016-11-06,29,59,89
15692609,a week ago,2016-11-06,0,24,34
15691746,3 days ago,2016-11-06,13,13,40
15690651,3 days ago,2016-11-06,21,51,81
15678822,today,2016-11-06,4,10,14
15673996,2 weeks ago,2016-11-06,27,55,85
15659042,a week ago,2016-11-06,24,25,34
15658883,today,2016-11-06,8,22,49
15658762,5 days ago,2016-11-06,11,41,71
15656481,3 days ago,2016-11-06,24,53,83
15649483,3 days ago,2016-11-06,27,57,87
15647703,2 weeks ago,2016-11-06,29,59,89
15646959,3 days ago,2016-11-06,29,59,89
15646823,4 days ago,2016-11-06,7,9,39
15634382,2 days ago,2016-11-06,20,45,75
15633210,4 days ago,2016-11-06,0,0,20
15631259,2 weeks ago,2016-11-06,24,54,84
15624788,today,2016-11-06,19,49,79
15618418,3 days ago,2016-11-06,12,42,72
15617380,a week ago,2016-11-06,21,51,81
15616181,5 days ago,2016-11-06,1,1,14
15611418,a week ago,2016-11-06,29,59,89
15609812,never,2016-11-06,30,60,90
15605417,a week ago,2016-11-06,14,36,36
15602283,2 weeks ago,2016-11-06,29,59,89
15601152,5 days ago,2016-11-06,19,49,77
15589314,a week ago,2016-11-06,29,59,89
15584671,4 days ago,2016-11-06,10,16,16
