neighbourhood_name,zip_code
Portsmouth,97217
Marshall Park,97219
Buckman,97214
Markham,97219
Lents,97266
Goose Hollow,97210
Vernon,97211
Cully,97213
Montavilla,97220
Lloyd District,97232
Hosford-Abernethy,97202
Roseway,97218
Kerns,97232
Ashcreek,97223
N. Tabor,97213
Montavilla,97215
Beaumont-Wilshire,97218
Montavilla,97216
Pleasant Valley,97236
Sabin,97212
Madison South,97213
Hayden Island,97217
Overlook,97217
Downtown,97205
Sabin,97211
Hayhurst,97239
Parkrose,97220
Southwest Hills,97201
South Portland,97219
Forest Park,97221
Downtown,97201
West Portland Park,97219
Foster-Powell,97266
Hayhurst,97221
Hollywood,97213
Argay,97230
Concordia,97211
Bridgeton,97217
Collins View,97219
Sylvan-Highlands,97221
Boise-Eliot,97217
Eastmoreland,97202
Reed,97202
Southwest Hills,97239
East Columbia,97211
Madison South,97220
Creston-Kenilworth,97202
Powellhurst-Gilbert,97266
Richmond,97215
Laurelhurst,97213
Hazelwood,97216
Roseway,97213
Beaumont-Wilshire,97211
Piedmont,97211
Bridlemile,97239
Multnomah,97219
Powellhurst-Gilbert,97236
Foster-Powell,97206
Hazelwood,97230
Laurelhurst,97232
Kerns,97214
Woodstock,97206
Brooklyn,97202
Bridgeton,97211
St. Johns,97203
Humboldt,97211
Richmond,97206
Creston-Kenilworth,97206
Beaumont-Wilshire,97213
Alameda,97211
Portsmouth,97203
Mt. Tabor,97206
Hosford-Abernethy,97214
Brooklyn,97214
Southwest Hills,97219
Grant Park,97213
Woodlawn,97211
Goose Hollow,97209
Mount Scott,97206
Lloyd District,97212
Goose Hollow,97201
Richmond,97202
Northwest District,97209
South Portland,97239
Far Southwest,97219
Parkrose Heights,97220
Sullivan's Gulch,97232
Laurelhurst,97215
Richmond,97214
Irvington,""
N. Tabor,97215
Grant Park,97232
Grant Park,97212
Sellwood-Moreland,97211
Cully,97201
Mt. Tabor,97214
Russell,97230
Overlook,97227
Laurelhurst,97214
Beaumont-Wilshire,97212
Beaumont-Wilshire,97227
Hillsdale,97239
Irvington,97212
Sumner,97220
Arnold Creek,97219
Boise-Eliot,97227
Hazelwood,97233
Sunnyside,97214
Concordia,97221
King,97212
Sellwood-Moreland,97202
Glenfair,97230
Sunderland,97211
Eliot,97227
Hayhurst,97219
Forest Park,97229
Cully,97218
South Burlingame,97219
University Park,97203
Goose Hollow,97205
Sunnyside,97215
Maplewood,97219
Wilkes,97230
Arbor Lodge,97217
Bridlemile,97221
Rose City Park,97213
Irvington,97232
Mt. Tabor,97215
Kenton,97217
Glenfair,97233
Piedmont,97217
Humboldt,97217
South Portland,97201
Woodstock,97202
Cathedral Park,97203
Boise-Eliot,97211
Alameda,97212
Mill Park,97216
South Tabor,97206
Rose City Park,97215
Hazelwood,97220
Eliot,97212
Arlington Heights,97205
Hillsdale,97219
Boise-Eliot,97212
Downtown,97204
Mount Scott,97236
Northwest District,97205
Forest Park,97231
Northwest District,97210
Pearl,97209
Pearl,97214
Old Town/Chinatown,97209
Forest Park,97210
Ashcreek,97219
Montavilla,97213
King,97211
Homestead,97239
Southwest Hills,97221
Hillside,97210
Brentwood-Darlington,97206
Hollywood,97212
