id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3635579,Spacious Room & Private Bath,274455,Eugenia,Sullivan's Gulch,45.53277484,-122.648434,Private room,85,2,132,10/16/2016,4.72,1,343
13031007,Best Neighborhood--3 Bed Apartment,636668,Sara Osheroff,Sullivan's Gulch,45.53408749,-122.6366259,Entire home/apt,95,2,18,10/30/2016,3.51,1,348
12819993,Adorable Bedroom in NE Portland,15661721,Alison,Sullivan's Gulch,45.53210669,-122.6444723,Private room,70,1,0,,,1,0
14505032,"New & Nearby Convention Center (2bd, 1bth)",45410272,Omar & Amanda,Sullivan's Gulch,45.5308703,-122.6444632,Entire home/apt,100,1,22,10/31/2016,11.38,1,60
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,Sullivan's Gulch,45.53383491,-122.6475915,Entire home/apt,95,1,96,10/16/2016,3.2,1,328
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,Sullivan's Gulch,45.534176,-122.6469208,Shared room,47,1,43,10/23/2016,4.71,7,357
13962174,Quiet room near Convention Center/Downtown PDX,470854,Lydia,Sullivan's Gulch,45.5334515,-122.6383307,Private room,60,2,3,8/10/2016,0.93,2,0
4918034,Private suites near it all- Room #2,3029738,Phil,Sullivan's Gulch,45.53327976,-122.6478623,Private room,100,1,91,10/21/2016,4.24,6,348
9260956,NE Getaway for the Creative Type,4547203,David,Sullivan's Gulch,45.53199202,-122.6375176,Entire home/apt,115,2,17,10/30/2016,2.51,1,24
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,Sullivan's Gulch,45.53449122,-122.646883,Private room,65,1,108,10/27/2016,6,7,342
5133946,Private suites near it all- Room #3,3029738,Phil,Sullivan's Gulch,45.53386634,-122.647757,Private room,100,1,100,10/23/2016,4.74,6,357
6122610,"LOCATION NE! : ""Mt Adams"" King bed",17261537,Ian & Sharmil,Sullivan's Gulch,45.53455075,-122.647997,Private room,75,1,89,10/31/2016,4.96,7,352
15164727,NE BUNK-HOUSE : Single bed - BOTTOM,17261537,Ian & Sharmil,Sullivan's Gulch,45.53415375,-122.6484273,Shared room,47,1,3,10/31/2016,3,7,364
5134256,Private suites near it all- Room #4,3029738,Phil,Sullivan's Gulch,45.53327353,-122.6468701,Private room,70,1,114,10/21/2016,5.44,6,331
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,Sullivan's Gulch,45.53396443,-122.6485267,Shared room,47,1,48,10/30/2016,5.12,7,362
7547444,Near Oregon Convention Center,1770933,Anastasia,Sullivan's Gulch,45.53223564,-122.6454249,Private room,47,1,101,10/28/2016,6.5,2,346
5794291,Private suites near it all- Room #6,3029738,Phil,Sullivan's Gulch,45.53337314,-122.6482357,Private room,100,1,65,10/23/2016,3.98,6,347
4000140,Heart of Portland! Adorable studio.,20738963,Jodi,Sullivan's Gulch,45.5333134,-122.6451693,Entire home/apt,60,3,102,10/25/2016,3.87,1,316
15358320,Bohemian Escape,78494301,Pamela,Sullivan's Gulch,45.53204823,-122.6412231,Private room,65,2,2,11/6/2016,2,1,170
6019539,Private Suites near it all- Room #7,3029738,Phil,Sullivan's Gulch,45.53191898,-122.6484275,Private room,110,1,37,10/22/2016,4.78,6,337
15140856,Plain bare room in Sullivan's Gulch,93288366,Erica,Sullivan's Gulch,45.53426656,-122.6406771,Private room,50,1,13,10/19/2016,8.86,1,363
4209765,Oregon  Convention Center,1770933,Anastasia,Sullivan's Gulch,45.53333303,-122.6424807,Private room,52,2,96,10/30/2016,3.81,2,353
4917894,Private suite near it all- Room #1,3029738,Phil,Sullivan's Gulch,45.53208834,-122.6467496,Private room,100,1,98,10/22/2016,4.47,6,344
